order_id,user_id,order_date,order_status,payment_method,updated_at
f96b648a-0ba6-4ab9-8639-447b2067bdac,b0cbc61f-3d85-4e89-8217-14298e200724,2024-08-23 22:34:47.218471,pending,bank transfer,2024-08-23 22:34:47.218471
0d31812e-30c3-4756-9453-f867b97e6224,fc568b53-24ac-4722-a052-77394d406f1b,2026-01-09 23:00:08.477098,cancelled,credit card,2026-01-09 23:00:08.477098
6e3cdd4f-55b1-45e4-b0b2-7304545cd88d,614c721d-a921-4b4c-95fb-e976ae007b7e,2024-12-17 15:37:16.926154,shipped,paypal,2024-12-17 15:37:16.926154
1d2c2721-7522-4646-b273-75bf5373bf4d,592a3549-7ba1-49d0-8567-c80534f541c0,2025-10-27 21:27:29.447488,delivered,paypal,2025-10-27 21:27:29.447488
f68c62e6-e2a4-4909-a2dd-22d52afaab7b,5628ddcd-19dd-4e8c-9605-30356545c030,2026-02-14 19:31:40.575285,shipped,bank transfer,2026-02-14 19:31:40.575285
bdae8eff-683c-410e-92ef-a93be9d6bb7e,c7903dc5-900c-4af7-9b0a-e22eecc817a6,2025-03-04 18:41:22.194343,cancelled,credit card,2025-03-04 18:41:22.194343
fc950bba-e818-4f34-a491-7f7d91c46efc,98017a2f-a5b8-4693-8fbb-a7495fcd859e,2025-06-26 00:17:54.544455,pending,credit card,2025-06-26 00:17:54.544455
63561add-685a-4f2b-8236-c0bfe9366a85,2f120b9e-f4fd-45b7-b84f-6e3b86804a8a,2024-11-25 07:13:09.358043,cancelled,credit card,2024-11-25 07:13:09.358043
e6cfcbd8-79d2-4001-ad6b-8a4e18a70609,8078636d-01b0-42c1-9aad-9234e31db345,2024-07-02 19:36:59.773986,shipped,credit card,2024-07-02 19:36:59.773986
e2ae3f87-ee7c-4782-a7a3-1d2515956c42,8eb7c306-8f73-498e-9c3d-0d5f5c6801d6,2026-02-16 14:32:59.103109,pending,bank transfer,2026-02-16 14:32:59.103109
ceb557ac-8b22-4445-bfa7-0485dafc3805,33b1d0dc-e552-40a8-b66f-3507e588b999,2024-06-06 11:08:13.671661,shipped,bank transfer,2024-06-06 11:08:13.671661
a8174c85-9819-4749-b041-e4f70e8fd00b,69b6f3b7-fe5b-4fc9-80b4-f6d67ef6775b,2025-05-11 02:38:38.101166,shipped,bank transfer,2025-05-11 02:38:38.101166
31208bde-3c52-468a-8ec6-1be5012b809e,d21bf733-4ead-48d3-a797-f3ae0cca0c05,2024-06-06 11:24:31.162634,pending,bank transfer,2024-06-06 11:24:31.162634
ba751921-2833-48ea-9c94-563ae9365d1b,42c45041-e183-4003-9bd9-72c704a434e7,2025-06-09 04:28:04.159231,shipped,credit card,2025-06-09 04:28:04.159231
b717548d-5f57-4d27-8419-99b615d1e2f8,42c45041-e183-4003-9bd9-72c704a434e7,2025-06-09 04:27:39.159177,cancelled,credit card,2025-06-09 04:27:39.159177
4f90f91a-5448-40de-aa1b-76e3326684ff,b58dfc59-ebe0-48c1-ae38-cf4647f86de4,2026-02-19 15:49:42.960621,shipped,bank transfer,2026-02-19 15:49:42.960621
b1c12d4b-60d1-4c16-8855-817d31120678,71d2e63f-9ef0-4577-b980-e5217b3cfc10,2025-03-24 21:36:57.011338,shipped,paypal,2025-03-24 21:36:57.011338
c8dfd1f1-14d7-4283-ba30-3cce359097e0,71d2e63f-9ef0-4577-b980-e5217b3cfc10,2025-03-24 21:33:10.006854,pending,paypal,2025-03-24 21:33:10.006854
